lwPropertyId,address,city,state,county,zip,price,acres,Rate,Url,types,status,created_at,updated_at
338229876,359 Lake Park Road,Lewisville,Texas,Denton County,75057,3578,3.2,1118.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/338229876,Commercial Property Homesites,Active,2021-04-19 12:16:24.3682+00,2021-04-19 12:16:24.368223+00
338229877,359 Lake Park Road,Lewisville,Texas,Denton County,75057,6000,3.2,1875.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/338229877,Commercial Property Homesites,Active,2021-04-19 12:16:24.371929+00,2021-04-19 12:16:24.371951+00
408243293,0 Nichols,Bay City,Texas,Matagorda County,77414,1,19.27,0.0,https://www.landwatch.com/matagorda-county-county-texas-commercial-property-for-sale/pid/408243293,Commercial Property House,Active,2021-04-19 21:35:25.306291+00,2021-04-19 21:35:25.306333+00
338289898,359 Lake Park Road,Lewisville,Texas,Denton County,75057,7183,3.2,2244.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/338289898,Commercial Property Homesites,Active,2021-04-19 12:16:24.375402+00,2021-04-19 12:16:24.375425+00
408303765,2021 W Mcdermott Drive,Allen,Texas,Collin County,75013,24,1.04,23.0,https://www.landwatch.com/collin-county-county-texas-commercial-property-for-sale/pid/408303765,Commercial Property Homesites,Active,2021-04-19 12:12:14.690125+00,2021-04-19 12:12:14.690147+00
407812346,2023 W McDermott Drive,Allen,Texas,Collin County,75013,18,2.92,6.0,https://www.landwatch.com/collin-county-county-texas-commercial-property-for-sale/pid/407812346,Commercial Property Homesites,Active,2021-04-19 12:12:14.705666+00,2021-04-19 12:12:14.705689+00
27964613,3341-57 Long Prairie Road,Flower Mound,Texas,Denton County,75022,2270,1.75,1297.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/27964613,Commercial Property Homesites,Active,2021-04-19 12:13:24.355869+00,2021-04-19 12:13:24.355891+00
339368693,4674 Mcdermott Road,Plano,Texas,Collin County,75024,4995,2.4,2081.0,https://www.landwatch.com/collin-county-county-texas-commercial-property-for-sale/pid/339368693,Commercial Property Homesites,Active,2021-04-19 12:13:35.54733+00,2021-04-19 12:13:35.547356+00
408294334,4865 Hedgcoxe Road,Plano,Texas,Collin County,75024,20,1.96,10.0,https://www.landwatch.com/collin-county-county-texas-commercial-property-for-sale/pid/408294334,Commercial Property Homesites,Active,2021-04-19 12:13:35.551381+00,2021-04-19 12:13:35.551405+00
409561204,00 Dowell Road,Rockwall,Texas,Rockwall County,75032,400000,20.0,20000.0,https://www.landwatch.com/rockwall-county-county-texas-farms-and-ranches-for-sale/pid/409561204,Farms and Ranches,Under Contract,2021-04-19 12:14:12.205876+00,2021-04-19 12:14:12.2059+00
339213249,3225 Springer,Rockwall,Texas,Rockwall County,75032,700,2.5,280.0,https://www.landwatch.com/rockwall-county-county-texas-commercial-property-for-sale/pid/339213249,Commercial Property Homesites,Under Contract,2021-04-19 12:14:17.369036+00,2021-04-19 12:14:17.369058+00
408633871,6780 Horizon Road,Heath,Texas,Rockwall County,75032,24,1.4,17.0,https://www.landwatch.com/rockwall-county-county-texas-commercial-property-for-sale/pid/408633871,Commercial Property Homesites,Active,2021-04-19 12:14:20.160599+00,2021-04-19 12:14:20.160623+00
339033031,255 W Lebanon Road,Frisco,Texas,Denton County,75034,2700,1.8,1500.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/339033031,Commercial Property Homesites,Active,2021-04-19 12:14:33.791889+00,2021-04-19 12:14:33.791925+00
409697316,5634 Fairdale Lane,Houston,Texas,Harris County,77057,1,0.56,1.0,https://www.landwatch.com/harris-county-county-texas-commercial-property-for-sale/pid/409697316,Commercial Property House,Active,2021-04-19 13:33:02.348665+00,2021-04-19 13:33:02.348705+00
335825930,102 E Hundley Drive,Lake Dallas,Texas,Denton County,75065,2300,1.04,2211.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/335825930,Commercial Property Homesites,Active,2021-04-19 12:17:00.062437+00,2021-04-19 12:17:00.06256+00
335825929,102 E Hundley Drive,Lake Dallas,Texas,Denton County,75065,1500,1.04,1442.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/335825929,Commercial Property Homesites,Active,2021-04-19 12:17:00.068433+00,2021-04-19 12:17:00.068472+00
407596137,1165 S Stemmons Freeway,Lewisville,Texas,Denton County,75067,997,17.3,57.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/407596137,Commercial Property,Active,2021-04-19 12:17:06.607956+00,2021-04-19 12:17:06.607981+00
339292162,1120 W Eldorado Parkway,Little Elm,Texas,Denton County,75068,5500,0.44,12500.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/339292162,Commercial Property Lakefront Property Waterfront Property Homesites,Active,2021-04-19 12:17:38.714527+00,2021-04-19 12:17:38.714552+00
408674674,2601 Little Elm Parkway,Little Elm,Texas,Denton County,75068,2500,9.7,257.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/408674674,Commercial Property,Active,2021-04-19 12:17:50.657542+00,2021-04-19 12:17:50.657564+00
409660792,2601 Little Elm Parkway,Little Elm,Texas,Denton County,75068,310000,9.7,31958.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/409660792,Commercial Property,Active,2021-04-19 12:17:54.19489+00,2021-04-19 12:17:54.194927+00
332407737,15790 Dooley Road,Addison,Texas,Dallas County,75001,850,1.58,537.0,https://www.landwatch.com/dallas-county-county-texas-commercial-property-for-sale/pid/332407737,Commercial Property Homesites,Active,2021-04-19 12:11:48.205455+00,2021-04-19 12:11:48.205501+00
339252275,2601 Little Elm Parkway,Little Elm,Texas,Denton County,75068,2700,0.5,5400.0,https://www.landwatch.com/denton-county-county-texas-commercial-property-for-sale/pid/339252275,Commercial Property Homesites,Active,2021-04-19 12:18:02.63871+00,2021-04-19 12:18:02.638739+00
332407741,15790 Dooley Road,Addison,Texas,Dallas County,75001,1250,1.58,791.0,https://www.landwatch.com/dallas-county-county-texas-commercial-property-for-sale/pid/332407741,Commercial Property Homesites,Active,2021-04-19 12:11:48.249919+00,2021-04-19 12:11:48.249951+00
333583537,4224 US Hwy 380,Lowry Crossing,Texas,Collin County,75069,9000,1.0,9000.0,https://www.landwatch.com/collin-county-county-texas-commercial-property-for-sale/pid/333583537,Commercial Property Homesites,Active,2021-04-19 12:18:12.716678+00,2021-04-19 12:18:12.716702+00
339193116,8751 Collin Mckinney Parkway,Mckinney,Texas,Collin County,75070,2700,3.0,900.0,https://www.landwatch.com/collin-county-county-texas-commercial-property-for-sale/pid/339193116,Commercial Property Homesites,Active,2021-04-19 12:18:24.456659+00,2021-04-19 12:18:24.456682+00
